response,category
"Thank you for reaching out to us, we accept your offer",right contact
Thank you for reaching out! We would love to have you join our team. Please send the application to my email and we will get back to you soon.,right contact
Yes! I'm in. Let's get started!,right contact
"Thank you for your consideration in sending us this offer, we confirm",right contact
"Hello, we accept ",right contact
Please schedule a meeting to take this forward as we are interested,right contact
"Hi there, thank you for contacting us, please let us know when we can meet to ask further questions",right contact
interested,right contact
we confirm our participation,right contact
"Your pitch seems interesting, we can we meet to discuss ",right contact
I'm interested and ready to take the next steps.,right contact
"Sounds great, let's proceed!",right contact
"Thank you for your email, we will be in touch soon.",right contact
"I agree with your suggestion, let's move forward",right contact
I can confirm my participation in this.,right contact
OK,right contact
"Thank you for your interest in our company. We will get back to you shortly. In the meantime, if you have any further questions, please do not hesitate to contact us.",right contact
"Hi, I'm interested",right contact
"Hello there, our company confirms our participation in this",right contact
I'd like to accept the offer please,right contact
"OK, we accept",right contact
I’m excited to move forward with this,right contact
Thank you for your inquiry. We will be in touch soon.,right contact
I'm onboard,right contact
Thanks for sharing! I'm busy right now but I'll get back to you very soon with a proper response,right contact
"Hello, thank you for reaching out, we confirm.",right contact
Thank you for letting me know about this. I'll look into the process of requesting it with my seniors,right contact
"Thank you for your message, Im happy to inform that I am interested in the opportunity you presented.",right contact
"Thank you for your offer, we will get back to you very soon as we are interested",right contact
"thank you, we would like to know more about your pitch",right contact
Please schedule a meeting as we have some questions before we could confirm,right contact
"Thanks for your interest in our company, we are delighted to accept your offer",right contact
"Absolutely, I'm ready to move forward.",right contact
"Thank you for your email. I apologize for the inconvenience. I'm a little bit busy right now, would you mind to call me on 773-478-5211?",right contact
"Thank you for your offer, we will send you our customized confirmation letter shortly.",right contact
I’d be happy to proceed with this,right contact
thanks for the information. We accept and look forward to work with you all ,right contact
"Count me in, I’m ready",right contact
"That sounds good to me, let’s move ahead",right contact
Let us get started,right contact
Thank you for your offer. I would like to accept it.,right contact
Thank you for the offer. We confirm our interest.,right contact
I’m all set to get started,right contact
"This works for me, let’s do it",right contact
"I'm on board with this, let's take the next step.",right contact
"I’m good with the proposal, let's proceed.",right contact
Sounds like a big step.  Great opportunity though. We acccept.,right contact
"Hi, Thanks for your email. I will be out of office for the next 10 days. Please contact me after 21st Feb.",right contact
"Everything looks great, I’m ready to go.",right contact
"I’m in agreement, let's move forward",right contact
We agree and accept your offer,right contact
Thanks for the information.  Can you schedule a meeting to discuss terms and conditions?,right contact
Sure ! Let us get started,right contact
"I’m ready to proceed, just let me know the next steps.",right contact
This is a good plan and I think it will benefit the company,right contact
"Hey there, we accept",right contact
Thank You.  Offer Approved.,right contact
"I’m eager to proceed, this looks great.",right contact
"Your approach and offer aligns with our viison, let us get started",right contact
"I agree with your approach, let's go ahead",right contact
"Thank you for the offer, it looks good to me",right contact
"Everything sounds good to me, I'm interested",right contact
"I’m fully onboard, let's get this started",right contact
"We have certain questions to ask, please set a meeting",right contact
Accept,right contact
"Our company was wanting an oppurtunity like this, great to have received this offer from you",right contact
Seems like a good oppurtunity ,right contact
we accept your offer and confirm our participation ,right contact
"Thank you for reaching out, this looks good",right contact
This seems excellent ! We confirm,right contact
I am the right  contact for this and this seems exciting,right contact
confirm,right contact
Interested in this. Can you send me the details?,right contact
"good business ,we accept",right contact
"Hi, I received your email and thank you for forwarding the details of this offer. I am very interested in this offer. Kindly let me know the details.",right contact
Thank you for the offer. Need to know more details so please let me know when I can meet with you ,right contact
"Hi, we accept",right contact
"Yes, accept",right contact
"Yes, I would like to participate in this offer. Thank you for reaching out.",right contact
we confirm our participation in this and look forward,right contact
I’m interested and ready to take the next steps,right contact
Let us go forward with this,right contact
"Alright, we confirm",right contact
Yes,right contact
Great!,right contact
Fantastic! Thanks for getting in touch. Please send me more details and I'll be in touch with you further to discuss this opportunity.,right contact
This sounds perfect for what we need,right contact
"Thank you for contacting us, we will send you a quote shortly.",right contact
Thanks for reaching out to us. We like what we hear ,right contact
This seems perfect,right contact
"hey there, let us go ahead",right contact
"Thanks, this seems fine",right contact
"Thank you for your interest in reaching out, we accept",right contact
Done,right contact
"Thank you for your offer, we are very much intersted",right contact
Let us proceed,right contact
"Hello, I am interested in this offer.",right contact
You have got yourself a deal,right contact
"thank you for reaching out, we looked into your offfer and we are interested",right contact
Thank you so much for your time and the opportunity to connect. I am excited to explore the potential for collaboration. I look forward to hearing from you soon.,right contact
I'm not involved with this.,not right contact
"Sorry, wrong address.",not right contact
Not the right contact.,not right contact
"Apologies, but you've contacted the incorrect person for this.",not right contact
I'm not associated with the project you're inquiring about.,not right contact
"Regrettably, I'm not involved with the subject of your email.",not right contact
Not my domain. Please reach out to any others,not right contact
"Thanks,This isn't my area of expertise.",not right contact
